SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1466 Commonwealth Ave #1,Boston,MA,02135,599000,3,1.0,Brighton,1346,1346,1925,1,445,451,Active,June-28-2020 01:30 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Boston/1466-Commonwealth-Ave-02135/unit-1/home/9013152,MLS PIN,72681122,N,Y,42.3471218,-71.1403074
MLS Listing,,Townhouse,43 Leyden St #43,Boston,MA,02128,659800,3,2.5,East Boston's Orient Heights,1397,1889,2006,2,472,441,Active,June-28-2020 01:00 PM,June-28-2020 02:30 PM,http://www.redfin.com/MA/Boston/43-Leyden-St-02128/unit-43/home/172266516,MLS PIN,72680208,N,Y,42.3901295,-71.0109725
MLS Listing,,Condo/Co-op,603 E 6Th St #1,Boston,MA,02127,1199000,3,2.5,Boston,2018,,1900,3,594,320,Active,June-28-2020 12:00 PM,June-28-2020 01:00 PM,http://www.redfin.com/MA/Boston/603-E-6th-St-02127/unit-1/home/81971909,MLS PIN,72679850,N,Y,42.332858,-71.0362643
MLS Listing,,Condo/Co-op,20 Leverett Ave #2,Boston,MA,02128,439900,2,1.5,Boston,948,948,1982,3,464,389,Active,June-28-2020 10:30 AM,June-28-2020 11:30 AM,http://www.redfin.com/MA/Boston/20-Leverett-Ave-02128/unit-2/home/9108488,MLS PIN,72679781,N,Y,42.3880692,-71.0003686
MLS Listing,,Condo/Co-op,2 Walk Hill St #3,Boston,MA,02130,499900,2,2.0,Jamaica Plain,882,882,1920,8,567,221,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Boston/2-Walk-Hill-St-02130/unit-3/home/39580539,MLS PIN,72677133,N,Y,42.2961566,-71.1157304
MLS Listing,,Condo/Co-op,944 Dorchester Ave #10,Boston,MA,02125,610000,2,1.0,Dorchester's Savin Hill,1238,1238,1910,9,493,617,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Boston/944-Dorchester-Ave-02125/unit-10/home/39913645,MLS PIN,72676396,N,Y,42.3185087,-71.0560755
MLS Listing,,Condo/Co-op,1 Avery St Unit 14A,Boston,MA,02111,1499000,2,2.5,Midtown,1488,1488,2000,9,1007,2071,Active,,,http://www.redfin.com/MA/Boston/1-Avery-St-02111/unit-14A/home/11511027,MLS PIN,72676213,N,Y,42.3534171,-71.06251
MLS Listing,,Condo/Co-op,99 Tremont St #213,Boston,MA,02135,769000,2,2.0,Brighton,1091,,2017,10,705,462,Active,,,http://www.redfin.com/MA/Boston/99-Tremont-St-02135/unit-213/home/144759630,MLS PIN,72675512,N,Y,42.351377,-71.1723764
MLS Listing,,Condo/Co-op,88 Kingston St Unit 1D,Boston,MA,02111,689000,1,1.0,Midtown,816,816,1899,10,844,409,Active,June-28-2020 01:30 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Boston/88-Kingston-St-02111/unit-1D/home/12310497,MLS PIN,72675269,N,Y,42.3526558,-71.0592399
MLS Listing,,Condo/Co-op,16 Leverett Ave #10,Boston,MA,02128,419000,2,1.5,Boston,1014,1014,1982,16,413,416,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Boston/16-Leverett-Ave-02128/unit-10/home/9108544,MLS PIN,72671732,N,Y,42.38943216,-70.99586248
MLS Listing,,Condo/Co-op,225 Dorchester St #1,Boston,MA,02127,1030000,2,2.5,South Boston,1839,,2016,17,560,534,Active,,,http://www.redfin.com/MA/Boston/225-Dorchester-St-02127/unit-1/home/144864567,MLS PIN,72671260,N,Y,42.3333731,-71.050482
MLS Listing,,Condo/Co-op,34 Coffey St #1,Boston,MA,02122,630000,2,2.0,Boston,1335,1335,2007,18,472,350,Active,,,http://www.redfin.com/MA/Boston/34-Coffey-St-02122/unit-1/home/21776384,MLS PIN,72670088,N,Y,42.2890473,-71.0494101
MLS Listing,,Condo/Co-op,21 Father Francis Gilday St #301,Boston,MA,02118,975000,2,1.5,South End,971,971,1858,29,1004,773,Active,,,http://www.redfin.com/MA/Boston/21-Father-Francis-Gilday-St-02118/unit-301/home/17393101,MLS PIN,72664178,N,Y,42.3371558,-71.0732041
MLS Listing,,Condo/Co-op,1008-1010 River St #2,Boston,MA,02136,449900,3,2.0,Hyde Park,1193,,1930,29,377,125,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Boston/1008-River-St-02136/unit-2/home/167702568,MLS PIN,72664018,N,Y,42.2602993,-71.1153996
MLS Listing,,Condo/Co-op,463 Commonwealth Ave #6,Boston,MA,02215,675000,1,1.0,Back Bay,668,668,1900,37,1010,219,Active,June-28-2020 01:30 PM,June-28-2020 03:00 PM,http://www.redfin.com/MA/Boston/463-Commonwealth-Ave-02215/unit-6/home/9240247,MLS PIN,72659881,N,Y,42.3494022,-71.0931228
MLS Listing,,Condo/Co-op,2089 Dorchester Ave #8,Boston,MA,02124,335000,2,1.0,Dorchester's Ashmont,720,720,1960,38,465,356,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Boston/2089-Dorchester-Ave-02124/unit-8/home/9064571,MLS PIN,72658996,N,Y,42.2792104,-71.0663964
MLS Listing,,Condo/Co-op,126 Jersey St #402,Boston,MA,02215,745000,1,1.0,The Fenway,624,624,2007,44,1194,357,Active,,,http://www.redfin.com/MA/Boston/126-Jersey-St-02215/unit-402/home/18983038,MLS PIN,72656080,N,Y,42.3425746,-71.0965461
MLS Listing,,Condo/Co-op,100 Saint Marys St #9,Boston,MA,02215,675000,1,1.0,The Fenway,652,652,1860,45,1035,478,Active,,,http://www.redfin.com/MA/Boston/100-St-Marys-St-02215/unit-9/home/9251193,MLS PIN,72655581,N,Y,42.3465444,-71.1067982
MLS Listing,,Condo/Co-op,10 Emmet St #2,Boston,MA,02127,399900,1,1.0,South Boston,375,375,1890,59,1066,135,Active,,,http://www.redfin.com/MA/Boston/10-Emmet-St-02127/unit-2/home/12439658,MLS PIN,72649102,N,Y,42.3369021,-71.0388543
MLS Listing,,Condo/Co-op,109 N St #1,Boston,MA,02127,459000,1,1.0,South Boston,480,480,1920,65,956,140,Active,,,http://www.redfin.com/MA/Boston/109-N-St-02127/unit-1/home/11511722,MLS PIN,72646946,N,Y,42.3344853,-71.0314719
MLS Listing,,Condo/Co-op,865 E 2nd St #1,Boston,MA,02127,899000,2,2.0,Boston,1687,1687,1899,93,533,200,Active,,,http://www.redfin.com/MA/Boston/865-E-2nd-St-02127/unit-1/home/21719483,MLS PIN,72638211,N,Y,42.3371892,-71.0282927
MLS Listing,,Condo/Co-op,65 Glen Rd Unit H2,Brookline,MA,02445,550000,2,2.0,Brookline,1189,,1900,122,463,839,Active,June-28-2020 11:00 AM,June-28-2020 12:30 PM,http://www.redfin.com/MA/Brookline/65-Glen-Rd-02445/unit-H2/home/11489151,MLS PIN,72624367,N,Y,42.3269579,-71.1172823
MLS Listing,,Condo/Co-op,59 Fleet St #5,Boston,MA,02109,749900,2,1.0,Waterfront,792,792,1900,129,947,477,Active,,,http://www.redfin.com/MA/Boston/59-Fleet-St-02109/unit-5/home/9269712,MLS PIN,72621286,N,Y,42.3639789,-71.0513732
MLS Listing,,Condo/Co-op,6 Logan St #2,Boston,MA,02119,598000,3,2.0,Roxbury's Fort Hill,1362,1362,1905,1,439,224,Active,,,http://www.redfin.com/MA/Boston/6-Logan-St-02119/unit-2/home/18982560,MLS PIN,72681852,N,Y,42.3264285,-71.0904825
MLS Listing,,Condo/Co-op,36 Symphony Rd Unit 4A,Boston,MA,02115,1099000,3,1.5,The Fenway,1140,,1890,1,964,426,Active,,,http://www.redfin.com/MA/Boston/36-Symphony-Rd-02115/unit-4A/home/9306357,MLS PIN,72681760,N,Y,42.3428242,-71.0885069
