SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-13-2013,Townhouse,887 Georgetown Pl,SAN JOSE,CA,95126,1288888,3,2.5,SAN JOSE,1859,1431,2002,30,693,385,Pending,,,http://www.redfin.com/CA/San-Jose/887-Georgetown-Pl-95126/home/1485707,MLSListings,ML81781689,N,Y,37.328257,-121.9055323
PAST SALE,August-28-2014,Condo/Co-op,801 S Winchester Blvd #2103,SAN JOSE,CA,95128,838888,2,2.0,SAN JOSE,986,,2005,30,851,295,Pending,,,http://www.redfin.com/CA/San-Jose/801-S-Winchester-Blvd-95128/unit-2103/home/2125383,MLSListings,ML81781661,N,Y,37.3126276,-121.9509114
PAST SALE,January-15-2016,Single Family Residential,211 Pinot Ct,SAN JOSE,CA,95119,1089000,4,2.0,SAN JOSE,1860,6324,1969,30,585,,Pending,,,http://www.redfin.com/CA/San-Jose/211-Pinot-Ct-95119/home/1783457,MLSListings,ML81781636,N,Y,37.2291672,-121.7829621
PAST SALE,December-2-2016,Single Family Residential,1302 Thornbury Ln,SAN JOSE,CA,95138,1400000,4,3.5,SAN JOSE,2612,4452,2004,31,536,390,Pending,,,http://www.redfin.com/CA/San-Jose/1302-Thornbury-Ln-95138/home/1048229,MLSListings,ML81781474,N,Y,37.288836,-121.806351
PAST SALE,July-8-2014,Single Family Residential,4676 Hampton Falls Pl,SAN JOSE,CA,95136,899888,3,2.5,SAN JOSE,1695,2184,2004,32,531,45,Pending,,,http://www.redfin.com/CA/San-Jose/4676-Hampton-Falls-Pl-95136/home/871149,MLSListings,ML81781296,N,Y,37.261927,-121.872996
MLS Listing,,Condo/Co-op,1550 Technology Dr #1035,SAN JOSE,CA,95110,749777,2,2.0,SAN JOSE,1133,,2005,36,662,490,Contingent,,,http://www.redfin.com/CA/San-Jose/1550-Technology-Dr-95110/unit-1035/home/2122501,MLSListings,ML81780869,N,Y,37.3635367,-121.9136888
PAST SALE,October-19-2012,Single Family Residential,1089 Phelps Ave,SAN JOSE,CA,95117,1398888,4,3.0,SAN JOSE,2199,6163,1962,20,636,,Pending,,,http://www.redfin.com/CA/San-Jose/1089-Phelps-Ave-95117/home/1149623,MLSListings,ML81782870,N,Y,37.3068201,-121.9612864
PAST SALE,,Condo/Co-op,1445 Fruitdale Ave #324,SAN JOSE,CA,95128,699999,2,2.0,SAN JOSE,1206,,2008,23,580,410,Pending,,,http://www.redfin.com/CA/San-Jose/1445-Fruitdale-Ave-95128/unit-324/home/23048237,MLSListings,ML81782534,N,Y,37.3112845,-121.9161637
MLS Listing,,Single Family Residential,1652 Tierra Buena Dr,SAN JOSE,CA,95121,739999,4,1.5,SAN JOSE,1265,5198,1963,26,585,,Contingent,,,http://www.redfin.com/CA/San-Jose/1652-Tierra-Buena-Dr-95121/home/1781331,MLSListings,ML81782151,N,Y,37.3159862,-121.8219423
MLS Listing,,Vacant Land,0 Miradero Ave,San Jose,CA,95127,450000,,,Santa Clara County,,71743,,26,,,Active,,,http://www.redfin.com/CA/San-Jose/Miradero-Ave-95127/home/161075776,BAREIS,22002860,N,Y,37.389291,-121.808598
